Type,Comment,Predicted Label
multi_line,Copyright (c) 2020 Helmut Neemann. Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The command line interface,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Frame needs to be set to DO_NOTHING_ON_CLOSE to work. Closing should by done by the {@link GUICloser#closeGUI()}.,RELEVANT
multi_line,Create a new Instance  @param parent      the parent component of the confirm dialog @param confirmSave the ConfirmSave interface,RELEVANT
multi_line,Create a new Instance  @param parent      the parent component of the confirm dialog @param confirmSave the ConfirmSave interface @param doExit      if true the parent JFrame is disposed by this listener,RELEVANT
multi_line,Used to check for save! No Window closing is performed!  @param parent      the Parent frame @param confirmSave the confirmSafe interface @return true if to proceed,RELEVANT
multi_line,Create a new Instance  @param parent    the parent component of the confirm dialog @param guiCloser the guiCloser,RELEVANT
multi_line,Interface to control the gui closing,RELEVANT
multi_line,@return true is state is changed and there is something to save,RELEVANT
multi_line,save changes,RELEVANT
multi_line,Interface to control the gui closing,RELEVANT
multi_line,Close the GUI,RELEVANT
multi_line,Copyright (c) 2019 Helmut Neemann. Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Used to store the window size,RELEVANT
multi_line,"Creates a new instance.  @param key the key used to store the size, must be unique",RELEVANT
multi_line,Sets the default size. Used at the first startup  @param width  width @param height height @return this for chained calls,RELEVANT
multi_line,Restore the last used size.  @param component the component to use,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Some helpful classes concerning GUI creation,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Simple classes to replace the java resource bundles,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Used to store the language keys.,RELEVANT
multi_line,Reads the resources from the given stream  @param in the input stream,RELEVANT
multi_line,Reads the resources from the given file  @param file the file to read @throws FileNotFoundException FileNotFoundException,RELEVANT
multi_line,Returns a entry by the given key  @param key the key @return the entry,RELEVANT
multi_line,@return a set containing all keys,RELEVANT
multi_line,Simplified map converter,RELEVANT
multi_line,Creates a new Instance  @param keyName the name of the xml entity,RELEVANT
multi_line,Returns true if the given class can be converted by this converter.  @param clazz the class to test. @return true if the given class can be converted by this converter.,RELEVANT
multi_line,Marshals the given object  @param value   the value to matshal @param writer  the writer to write the xml to @param context the context of the marshaler,RELEVANT
multi_line,Unmarshals a object  @param reader  the reader to read the xml from @param context the context of the unmarshaler @return the read object,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Creates a new instance  @param name the bundles name,RELEVANT
multi_line,returns the resources for the given language  @param lang the language @return the resources or null if not available,RELEVANT
multi_line,Returns all supported languages  @return the languages,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Abstraction of a language,RELEVANT
multi_line,Creates a new instance  @param name the languages name,RELEVANT
multi_line,Creates a new instance with the current language,RELEVANT
multi_line,"Creates new instance  @param name        name, eq. `en` or `de` @param displayName the name shown to the user @param filename    a name that contains only ASCII characters",RELEVANT
multi_line,returns the name  @return the name,RELEVANT
multi_line,@return a name that contains only ASCII characters,RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Used to break lines.,RELEVANT
multi_line,Creates a new instance,RELEVANT
multi_line,Creates a new instance  @param cols number of columns to use,RELEVANT
